"Date,""Total Activated Balancing Energy UP"",""Total Activated Balancing Energy Down"",""Total Activated Balancing Energy"",""Imbalance Price"",""mFRR Price Down"""
2020-11-03 22:15:00,87.88115,219.09888,-131.21773,17.82534969,27.8
2020-11-03 22:30:00,105.15003,178.8299,-73.67987,37.16054559,37.67
2020-11-03 22:45:00,65.97096,179.77655,-113.80559,37.11122579,37.67
2020-11-03 23:00:00,28.71335,144.53353,-115.82018,15.38906881,31.36
2020-11-03 23:15:00,3.1316,118.54551,-115.41391,23.70772764,34.25
2020-11-03 23:30:00,5.244,144.35064,-139.10664,35.46235413,37.3
2020-11-03 23:45:00,0,139.62209,-139.62209,33.11661303,37.3
2020-11-04 00:00:00,26.54152,36.15587,-9.61435,21.00065494,37.56
2020-11-04 00:15:00,20.29727,41.43487,-21.1376,19.36,19.36
2020-11-04 00:30:00,2.69743,50.18035,-47.48292,32.53555768,32.6
2020-11-04 00:45:00,0.76344,41.57652,-40.81308,5.60308137,19.36
2020-11-04 01:00:00,36.55585,24.83755,11.7183,51.92246009,37.3
2020-11-04 01:15:00,39.89764,26.40381,13.49383,51.87999999,0
2020-11-04 01:30:00,17.36809,45.09877,-27.73068,0,0
2020-11-04 01:45:00,16.89612,34.35385,-17.45773,0,0
2020-11-04 02:00:00,44.886,124.52613,-79.64013,29.37397532,37.3
2020-11-04 02:15:00,36.948,127.63498,-90.68698,32.20595481,37.3
2020-11-04 02:30:00,35.98899,136.43991,-100.45092,16.13999999,16.14
2020-11-04 02:45:00,37.36878,126.48724,-89.11846,33.70214268,37.3
2020-11-04 03:00:00,85.16,140.72295,-55.56295,27.08753258,37.3
2020-11-04 03:15:00,69.766,156.80832,-87.04232,11.01826125,13.13
2020-11-04 03:30:00,88.70804,161.78003,-73.07199,27.86972227,37.3
2020-11-04 03:45:00,68.637,170.59023,-101.95323,24.87364884,37.3
2020-11-04 04:00:00,37.73745,123.5844,-85.84695,26.05898087,37.3
2020-11-04 04:15:00,36.63389,139.52434,-102.89045,27.88219158,37.3
2020-11-04 04:30:00,38.782,128.56781,-89.78581,30.47692199,37.3
2020-11-04 04:45:00,38.869,110.53914,-71.67014,33.04695921,37.3
2020-11-04 05:00:00,7.88997,109.00382,-101.11385,26.91178981,33.89
2020-11-04 05:15:00,9.78994,92.82186,-83.03192,28.80466819,37.3
2020-11-04 05:30:00,25.93565,84.26469,-58.32904,31.04975155,37.3
2020-11-04 05:45:00,28.62103,93.35854,-64.73751,31.62814517,37.3
2020-11-04 06:00:00,31.99649,82.11753,-50.12104,33.33356676,37.3
2020-11-04 06:15:00,36.55344,46.23342,-9.67998,36.13069658,37.3
2020-11-04 06:30:00,52.99162,21.3722,31.61942,98.7,37.3
2020-11-04 06:45:00,61.96434,58.27099,3.69335,98.7,37.3
2020-11-04 07:00:00,103.15724,82.90449,20.25275,98.69999992,37.3
2020-11-04 07:15:00,70.34687,95.69449,-25.34762,37.3,37.3
2020-11-04 07:30:00,56.3727,17.33737,39.03533,98.70730403,37.3
2020-11-04 07:45:00,56.04748,40.98605,15.06143,454,37.3
2020-11-04 08:00:00,109.27063,81.3756,27.89503,195.0099999,37.3
2020-11-04 08:15:00,53.34165,36.77515,16.5665,98.70018447,37.3
2020-11-04 08:30:00,87.442,93.42258,-5.98058,37.3,37.3
2020-11-04 08:45:00,59.37775,85.44879,-26.07104,32.20598141,32.23
2020-11-04 09:00:00,129.75552,79.06938,50.68614,100.8005647,37.3
2020-11-04 09:15:00,135.24942,85.39676,49.85266,195.0099999,37.56
2020-11-04 09:30:00,102.74753,82.40608,20.34145,195.0099999,37.56
2020-11-04 09:45:00,89.40306,114.90952,-25.50646,37.22599442,37.56
2020-11-04 10:00:00,99.35986,92.78671,6.57315,98.90480375,32.54
2020-11-04 10:15:00,60.60444,87.19075,-26.58631,32.47577621,32.54
2020-11-04 10:30:00,56.11844,97.83822,-41.71978,36.28354237,37.3
2020-11-04 10:45:00,51.91144,103.73181,-51.82037,32.12588451,32.23
2020-11-04 11:00:00,52.93472,104.86181,-51.92709,32.14619557,32.23
2020-11-04 11:15:00,53.26167,107.2119,-53.95023,31.43725915,32.23
2020-11-04 11:30:00,104.69653,100.00947,4.68706,98.70758515,32.54
2020-11-04 11:45:00,97.57096,129.98142,-32.41046,32.08376764,32.23
2020-11-04 12:00:00,80.92636,132.57095,-51.64459,34.82611328,34.92
2020-11-04 12:15:00,119.44514,142.75583,-23.31069,36.01999999,36.02
2020-11-04 12:30:00,115.01456,95.3211,19.69346,98.70690467,37.3
2020-11-04 12:45:00,120.2635,135.86055,-15.59705,37.3,37.3
2020-11-04 13:00:00,105.34397,91.76652,13.57745,98.76221638,37.56
2020-11-04 13:15:00,74.43213,98.68958,-24.25745,35.6550793,37.67
2020-11-04 13:30:00,81.95912,117.98002,-36.0209,33.96491161,37.67
2020-11-04 13:45:00,48.58454,115.43187,-66.84733,26.67169723,31.3
2020-11-04 14:00:00,50.87644,63.44928,-12.57284,37.29763846,37.67
2020-11-04 14:15:00,66.26172,106.26487,-40.00315,32.90706297,37.67
2020-11-04 14:30:00,64.44441,110.30965,-45.86524,26.3,26.3
2020-11-04 14:45:00,61.92003,113.87712,-51.95709,26.3,26.3
2020-11-04 15:00:00,46.62978,37.12536,9.50442,98.71703083,0
2020-11-04 15:15:00,48.64457,41.10427,7.5403,98.71632543,0
2020-11-04 15:30:00,76.98973,29.75144,47.23829,98.71031493,0
2020-11-04 15:45:00,85.54793,28.71787,56.83006,98.61856605,0
2020-11-04 16:00:00,106.93787,33.93787,73,98.61593428,85.91
2020-11-04 16:15:00,111.04931,30.94206,80.10725,98.61763769,0
2020-11-04 16:30:00,140.73086,28.06007,112.67079,98.70564295,0
2020-11-04 16:45:00,150.30029,13.78192,136.51837,97.98284155,0
2020-11-04 17:00:00,113.51125,15.01416,98.49709,97.73656672,0
2020-11-04 17:15:00,102.52871,60.82078,41.70793,99,0
2020-11-04 17:30:00,141.79141,54.66496,87.12645,97.02900408,0
2020-11-04 17:45:00,148.22022,57.55124,90.66898,97.01914279,0
2020-11-04 18:00:00,143.01094,154.19631,-11.18537,5.16066653,6.1
2020-11-04 18:15:00,161.78896,166.77684,-4.98787999999999,5.16241428,6.1
2020-11-04 18:30:00,121.21861,175.75301,-54.5344,5.18892203,6.1
2020-11-04 18:45:00,116.40642,166.36197,-49.95555,5.08857764,6.1
2020-11-04 19:00:00,172.97107,144.43084,28.54023,98.89999998,33.79
2020-11-04 19:15:00,74.70744,164.79489,-90.08745,33.78999999,33.79
2020-11-04 19:30:00,60.75744,235.59674,-174.8393,30.35832989,33.79
2020-11-04 19:45:00,37.22744,235.72381,-198.49637,26.98027111,33.79
2020-11-04 20:00:00,86.53983,154.63819,-68.09836,27.2419407,37.67
2020-11-04 20:15:00,54.63647,147.58165,-92.94518,23.78674129,37.67
2020-11-04 20:30:00,56.86649,194.10498,-137.23849,26.43003078,37.3
2020-11-04 20:45:00,16.739,198.20526,-181.46626,27.2871353,37.3
2020-11-04 21:00:00,128.81809,79.1603,49.65779,195,32.23
2020-11-04 21:15:00,66.57343,147.46182,-80.88839,30.15,30.15
2020-11-04 21:30:00,35.35643,192.04722,-156.69079,31.44946716,31.92
2020-11-04 21:45:00,3.86062,183.93886,-180.07824,25.0306408,26.3
2020-11-04 22:00:00,60.87996,107.74347,-46.86351,30.07089109,37.3
2020-11-04 22:15:00,52.824,156.38667,-103.56267,36.31169619,37.3
2020-11-04 22:30:00,29.634,158.21391,-128.57991,18.79662157,37.3
2020-11-04 22:45:00,12.04109,159.63161,-147.59052,25.88343071,37.3
2020-11-04 23:00:00,68.10973,86.55619,-18.44646,36.26938044,37.3
2020-11-04 23:15:00,39.76332,113.32978,-73.56646,20.98338839,37.67
2020-11-04 23:30:00,24.7114,138.24156,-113.53016,14.03447877,37.3
2020-11-04 23:45:00,9.943,159.41194,-149.46894,19.25524083,37.3
2020-11-05 00:00:00,19.48324,97.86168,-78.37844,29.79889759,37.3
2020-11-05 00:15:00,1.32,97.57635,-96.25635,13.04,13.04
2020-11-05 00:30:00,24.58928,30.4584,-5.86912,0,0
2020-11-05 00:45:00,46.519,83.17813,-36.65913,-15.0,-15.0
