"Date,""MCP"",""Buy_Exports_GR-TR"",""Buy_HV_LOAD"",""Buy_LOSSES_LOAD"",""Buy_LV_LOAD"",""Buy_MV_LOAD"",""Sell_Imports_AL-GR"",""Sell_Imports_BG-GR"",""Sell_Imports_MK-GR"",""Sell_Imports_TR-GR"",""Sell__SUPPLY"",""Sell_Big Hydro_SUPPLY"",""Sell_Lignite_SUPPLY"",""Sell_Natural Gas_SUPPLY"",""Sell_RES_SUPPLY"",""Buy_Exports_GR-BG"",""Buy_Exports_GR-MK"",""Buy_Exports_GR-AL"",""Buy_Exports_GR-IT"",""Sell_Imports_IT-GR"",""Buy_PUMP_LOAD"",""Buy_Imports_IT-GR"",""Sell_Exports_GR-IT"",""Buy_CRETE LOAD_LOAD"",""Sell_CRETE CONVENTIONAL_SUPPLY"",""Sell_CRETE RENEWABLES_SUPPLY"""
2020-11-03 20:00:00,69.95,NULL,854.598,141,3591.577,1182.39,259,600,150,NULL,0.172,323,521,3129.071,453.683,NULL,NULL,NULL,NULL,333.639,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 21:00:00,54.59,NULL,879.819,128,3257.926,1092.131,281,590,150,NULL,0.184,136,504,2969.41,482.318,NULL,NULL,NULL,NULL,244.964,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 22:00:00,42.8,NULL,804.301,121,2935.25,1037.655,245,590,150,NULL,0.179,76,504,2825.772,507.255,NULL,NULL,NULL,50,50,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 23:00:00,40.25,NULL,968.138,118,2429.9,931.197,300,590,150,NULL,0.16,76,504,2252.086,519.989,NULL,NULL,NULL,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 00:00:00,42.17,NULL,991.22,116.5,2127.094,969.048,299,600,150,NULL,0.148,NULL,504,1883.189,516.525,NULL,NULL,NULL,143,394,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 01:00:00,40,NULL,1007.852,116.5,2015.949,949.101,299,600,150,NULL,0.144,NULL,504,1663.9,567.861,NULL,NULL,NULL,125,429.497,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 02:00:00,38.95,NULL,1017.784,114.5,1943.635,938.825,296,600,150,NULL,0.148,NULL,504,1653.9,601.941,NULL,NULL,NULL,160.245,369,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 03:00:00,35.94,NULL,1018.243,114,1909.994,938.427,300,600,150,NULL,0.154,NULL,504,1653.9,620.525,NULL,NULL,NULL,230,382.085,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 04:00:00,40.15,NULL,1018.749,115.5,2011.229,968.338,296,600,150,NULL,0.156,NULL,504,1656.65,646.01,NULL,NULL,NULL,138,399,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 05:00:00,41.99,NULL,1015.816,120,2266.889,1068.465,295,600,150,NULL,0.161,26,504,1835.901,671.108,NULL,NULL,NULL,46,435,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 06:00:00,52,NULL,992.071,123,2686.925,1218.101,295,600,150,NULL,0.151,41,504,2180.099,789.847,NULL,NULL,NULL,NULL,460,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 07:00:00,52,NULL,972.55,123,3014.656,1339.782,295,600,150,NULL,0.379,83,504,2246.703,1205.906,10,NULL,NULL,NULL,375,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 08:00:00,49.45,NULL,943.729,123,3329.009,1415.431,261,600,150,NULL,0.753,153,504,2378.361,1663.953,10,2,NULL,81.898,194,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 09:00:00,46.71,NULL,906.311,122,3506.685,1454.115,236.278,600,150,NULL,1.131,103,504,2499.586,1987.116,10,NULL,NULL,171,89,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 10:00:00,42.38,NULL,809.093,122,3659.48,1473.473,196,600,148.877,NULL,1.361,84,504,2583.247,2104.938,10,NULL,NULL,272.377,124,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 11:00:00,42.56,NULL,782.599,122.5,3700.316,1476.304,202.918,600,150,NULL,1.457,80,504,2508.95,2090.842,10,NULL,NULL,170.448,124,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 12:00:00,43.02,NULL,772.857,123,3651.425,1467.021,244,600,150,NULL,1.368,96,504,2466.763,1990.172,10,NULL,NULL,105,77,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 13:00:00,43.45,NULL,767.322,123,3446.356,1428.886,195,600,123,NULL,1.256,61,504,2557.77,1811.677,10,NULL,NULL,162.139,84,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 14:00:00,46.45,NULL,825.555,123.5,3254.423,1360.635,198,580,131,NULL,1.039,35,504,2480.306,1523.835,10,5,NULL,67.442,193.375,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 15:00:00,52,NULL,826.234,129.5,3166.802,1305.028,219,600,130,NULL,0.739,35,504,2518.95,1141.775,10,NULL,NULL,25,313.1,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 16:00:00,56.5,NULL,842.473,141,3377.283,1292.864,263,600,150,NULL,0.41,35,504,2795.57,950.055,8,NULL,NULL,NULL,363.585,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 17:00:00,70,NULL,914.578,149.5,3721.014,1304.321,268,600,150,NULL,0.156,168,539,2969.76,1020.451,NULL,NULL,NULL,5,379.046,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 18:00:00,72,NULL,849.66,151,3860.544,1309.446,268,600,150,NULL,0.154,220,539,2888.115,1118.321,NULL,NULL,NULL,5,392.06,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 19:00:00,61.39,NULL,851.209,149,3844.438,1287.199,278,600,150,NULL,0.15,330,534.998,2932.275,1190.423,NULL,3,NULL,105,224,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 20:00:00,51.82,NULL,853.652,141,3580.21,1219.392,185,600,150,NULL,0.149,528,504,2591.493,1260.364,NULL,NULL,NULL,200,175.248,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 21:00:00,43.48,NULL,879.556,128,3106.461,1106.901,185,600,150,NULL,0.147,186,504,2576.967,1321.484,NULL,NULL,NULL,395,92.32,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 22:00:00,41.01,NULL,805.503,123,2912.535,1066.783,175,600,146,NULL,0.151,76,504,2196.883,1371.079,NULL,NULL,NULL,218.292,57,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 23:00:00,34.06,NULL,970.215,120,2383.066,990.816,163,587.232,150,NULL,0.151,NULL,504,2109.9,1397.814,NULL,NULL,NULL,505,57,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 00:00:00,33.4,NULL,988.52,116,2107.383,943.899,127.721,560,113,NULL,0.152,NULL,529,1533.9,1544.029,NULL,NULL,25,210,108,125,NULL,NULL,NULL,NULL,NULL
2020-11-05 01:00:00,39.58,NULL,1005.952,116,1996.003,928.501,197,570,150,NULL,0.152,NULL,529,932.9,1581.869,NULL,NULL,NULL,35,355.535,235,NULL,NULL,NULL,NULL,NULL
2020-11-05 02:00:00,33.55,NULL,1015.884,114,1931.528,920.16,193,600,150,NULL,0.155,NULL,529,932.9,1633.115,NULL,NULL,NULL,63.598,242,235,NULL,NULL,NULL,NULL,NULL
2020-11-05 03:00:00,32.48,NULL,1016.343,114,1900.367,920.949,193,600,150,NULL,0.162,NULL,529,932.9,1685.902,NULL,NULL,NULL,47,142.695,235,NULL,NULL,NULL,NULL,NULL
2020-11-05 04:00:00,36.85,NULL,1016.849,117,1973.372,942.701,195.394,570,150,NULL,0.157,NULL,529,932.9,1711.471,NULL,NULL,NULL,15,211,235,NULL,NULL,NULL,NULL,NULL
2020-11-05 05:00:00,41.98,NULL,1013.916,119.5,2267.132,1049.569,201,570,150,NULL,0.154,56,529,976.08,1734.883,NULL,NULL,NULL,15,483,235,NULL,NULL,NULL,NULL,NULL
2020-11-05 06:00:00,49.21,NULL,999.971,124.5,2686.689,1205.316,246,515,146,NULL,0.15,71,529,1257.9,1816.757,NULL,NULL,NULL,10,444.669,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 07:00:00,54.91,NULL,979.65,127,3025.344,1336.201,195,491,146,NULL,0.285,45,529,1592.9,2056.26,20,12,NULL,NULL,444.75,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 08:00:00,55,NULL,950.829,128,3324.654,1407.445,113,471,106,NULL,0.341,115,529,2113.259,2315.328,40,32,49,NULL,169,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 09:00:00,48.17,NULL,913.411,128,3469.866,1436.103,82,470,119,NULL,0.476,65,529,2110.337,2503.72,40,17,11,12.153,148,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 10:00:00,45.58,NULL,816.193,128,3623.286,1459.059,82,469,112,NULL,0.512,95,529,2024.253,2603.773,70,16,36,5,238,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 11:00:00,43.98,NULL,789.699,127,3655.612,1459.272,78,469,106,NULL,0.568,145,529,2003.728,2601.877,65,16,36,43,258.41,NULL,NULL,NULL,NULL,NULL,NULL
