,Prediction,Real,Prediction_sign,Real_sign
2022-05-05 09:00:00,-48.01859198902942,44.01469184999996,0,1
2022-05-05 10:00:00,-70.58040742009558,-9.006232274999974,0,0
2022-05-05 11:00:00,-99.3273759564632,-67.39607179999999,0,0
2022-05-05 12:00:00,-100.64190153968386,-71.51911582500003,0,0
2022-05-05 13:00:00,-68.0699293536985,-71.95950102500004,0,0
2022-05-05 14:00:00,-47.62055932249267,-82.09127747500006,0,0
2022-05-05 15:00:00,-19.44256993992646,-52.70292437499998,0,0
2022-05-05 16:00:00,16.072523118227945,-82.270976475,1,0
2022-05-05 17:00:00,10.08855625243381,-75.57295549999998,1,0
2022-05-05 18:00:00,17.238727273058828,-65.50999990000003,1,0
2022-05-05 19:00:00,21.612040828433827,-59.98999989999999,1,0
2022-05-05 20:00:00,9.174934640919112,-6.220824875000005,1,0
2022-05-05 21:00:00,-21.708567478617642,15.260331374999964,0,1
2022-05-05 22:00:00,-14.394635691713237,-35.220915950000006,0,0
2022-05-05 23:00:00,-8.314682115977963,-20.78856345,0,0
2022-05-06 00:00:00,-5.266555391823548,-40.96490127499996,0,0
2022-05-06 01:00:00,-10.357104232529423,-57.674946175,0,0
2022-05-06 02:00:00,27.358170678205887,-64.58223912499997,1,0
2022-05-06 03:00:00,30.5555584352794,-72.62283455000002,1,0
2022-05-06 04:00:00,28.243622458279408,-72.76162417499998,1,0
2022-05-06 05:00:00,15.846386265294118,-67.51787519999996,1,0
2022-05-06 06:00:00,19.793992365779406,-69.8911913,1,0
2022-05-06 07:00:00,-17.07963836987498,-51.60749989999994,0,0
2022-05-06 08:00:00,-65.29767006091171,-43.03507372499996,0,0
2022-05-06 09:00:00,-107.44072087626468,-51.595216049999976,0,0
2022-05-06 10:00:00,-136.26893812986762,-79.41518032500005,0,0
2022-05-06 11:00:00,-149.55633088769113,-127.71093495,0,0
2022-05-06 12:00:00,-157.98614967798534,-107.42292740000003,0,0
2022-05-06 13:00:00,-123.97118984373527,-155.41288984999997,0,0
2022-05-06 14:00:00,-75.59143416518386,-252.394841,0,0
2022-05-06 15:00:00,-36.146024705308825,-81.7799999,0,0
2022-05-06 16:00:00,6.523310811110288,-74.36689542499997,1,0
2022-05-06 17:00:00,15.593605275294118,-63.21393975000004,1,0
2022-05-06 18:00:00,74.01959410011767,-34.298363075,1,0
2022-05-06 19:00:00,88.44520980661026,57.725876149999976,1,1
2022-05-06 20:00:00,63.53118263723535,161.46717705000003,1,1
2022-05-06 21:00:00,19.199261314139694,233.5226225425,1,1
2022-05-06 22:00:00,4.571830907801476,206.6363299675,1,1
2022-05-06 23:00:00,37.88388011076472,164.78411791,1,1
2022-05-07 00:00:00,53.75216815006621,93.64459245,1,1
2022-05-07 01:00:00,38.628030757169114,81.64381785,1,1
2022-05-07 02:00:00,47.2671253534706,73.37750002499999,1,1
2022-05-07 03:00:00,49.009461961066165,65.83750007500001,1,1
2022-05-07 04:00:00,59.10656465882352,58.720000075,1,1
2022-05-07 05:00:00,55.52789364916177,55.44604850000002,1,1
2022-05-07 06:00:00,-2.2433716997720627,46.33192685,0,1
2022-05-07 07:00:00,-62.00911482075734,10.095691950000004,0,1
2022-05-07 08:00:00,-184.55062002493383,28.82458102500001,0,1
2022-05-07 09:00:00,-207.21117031708093,127.2061576,0,1
2022-05-07 10:00:00,-298.74825687675735,95.272500025,0,1
2022-05-07 11:00:00,-293.2008743286467,-130.26499985,0,0
2022-05-07 12:00:00,-294.81739583971296,-148.38499985,0,0
2022-05-07 13:00:00,-271.6171200096614,-65.54338334999997,0,0
2022-05-07 14:00:00,-294.20279385540414,-65.5521589,0,0
2022-05-07 15:00:00,-173.26642649123525,-112.81680582500002,0,0
2022-05-07 16:00:00,-87.69272110767653,-124.00124855,0,0
2022-05-07 17:00:00,-5.824655872080879,-25.851927875,0,0
2022-05-07 18:00:00,13.475136276397048,-97.98684677499996,1,0
2022-05-07 19:00:00,30.823207707830882,-80.85717912500002,1,0
2022-05-07 20:00:00,37.49586988702942,-71.66661922499998,1,0
2022-05-07 21:00:00,55.843001230360244,-82.64132602500001,1,0
2022-05-07 22:00:00,36.63466007818387,-76.30826135000001,1,0
2022-05-07 23:00:00,54.943549251764715,-49.03645337499995,1,0
2022-05-08 00:00:00,48.14477314900001,-52.04509469999999,1,0
2022-05-08 01:00:00,41.13434480874264,-62.86838034999997,1,0
2022-05-08 02:00:00,33.055788104272075,-108.31749984999992,1,0
2022-05-08 03:00:00,27.095164556227957,-53.39249992500001,1,0
2022-05-08 04:00:00,30.934478613382367,-61.75999989999997,1,0
2022-05-08 05:00:00,47.161215384669106,-280.49249985000006,1,0
2022-05-08 06:00:00,51.73242324240441,-20.609999892500014,1,0
2022-05-08 07:00:00,-21.4943756708309,-108.7299999,0,0
2022-05-08 08:00:00,-31.77025222455883,-130.21415002499998,0,0
2022-05-08 09:00:00,-117.97827130123535,-132.47109467500002,0,0
2022-05-08 10:00:00,-100.66111634089708,-136.10909174999995,0,0
2022-05-08 11:00:00,-74.21813954677938,-143.344219875,0,0
2022-05-08 12:00:00,-148.96293431776476,-153.86,0,0
2022-05-08 13:00:00,-87.31976113069116,-179.0226219,0,0
2022-05-08 14:00:00,-27.609647403441212,-223.77337982500003,0,0
2022-05-08 15:00:00,-12.778639095007355,-207.9767872500001,0,0
2022-05-08 16:00:00,7.886999549860291,-60.05367383249998,1,0
2022-05-08 17:00:00,69.41466999451471,-33.65651162500001,1,0
2022-05-08 18:00:00,96.74571365691922,-37.70702410000001,1,0
2022-05-08 19:00:00,95.87822329702225,-41.20999512499998,1,0
2022-05-08 20:00:00,77.4517463700735,82.34772928500001,1,1
2022-05-08 21:00:00,88.32248034194853,-1.8301642999999783,1,0
2022-05-08 22:00:00,65.81671054653677,-9.2162936,1,0
2022-05-08 23:00:00,63.489580340036824,55.963758266666645,1,1
